,Skopje,Kumanovo,Bitola,Prilep,Tetovo,Štip,Veles,Ohrid,Strumica,Gostivar,Kočani,Dračevo,Struga,Debar,Kriva Palanka,Negotino,Sveti Nikole,Probištip,Delčevo,Vinica,Aračinovo,Kičevo,Kavadarci,Berovo,Kratovo,Gevgelija,Vrapčište,Radoviš,Kruševo,Čegrane,Makedonski Brod,Demir Kapija,Kučevište,Tearce,Bogdanci,Forino,Rašče,Rosoman,Demir Hisar,Vevčani,Gradsko,Valandovo,Krivogaštani,Pehčevo,Plasnica,Zrnovci,Novaci,Bosilovo,Mogila,Novo Selo,Konče,Rostuša,Jegunovce,Rankovce,Sopište,Obleševo,Vasilevo,Karbinci,Lozovo,Staro Nagoričane,Brvenica,Centar Župa,Dolneni,Belčišta,Čučer-Sandevo,Zelenikovo,Petrovec,Želino,Star Dojran,Studeničani,Bogovinje,Ilinden,Lipkovo,Makedonska Kamenica,Resen
Novo Selo,144.3,137.0,213.8,166.3,172.0,87.2,126.4,286.5,25.0,194.2,115.9,140.7,295.2,286.0,178.1,105.2,104.1,125.1,109.0,117.4,134.8,239.0,117.7,71.5,139.7,86.7,195.2,60.8,216.1,198.7,210.6,94.7,149.2,183.4,77.7,201.3,160.7,120.0,220.3,308.6,116.4,60.9,195.0,82.8,225.5,120.9,219.2,15.1,206.5,0.0,81.7,265.3,179.3,162.1,148.1,112.2,30.5,99.5,109.3,151.2,174.4,287.0,187.7,279.9,148.8,144.4,129.1,167.4,82.3,147.4,183.3,131.5,149.8,131.6,242.4
Konče,106.7,99.3,180.8,133.3,134.3,49.5,88.8,253.5,58.0,156.6,78.3,103.1,262.2,248.4,140.5,71.1,66.4,87.4,123.2,86.2,97.2,205.9,83.5,118.1,102.1,95.9,157.6,28.7,183.0,161.0,177.5,82.3,111.6,145.8,86.9,163.7,123.1,87.0,187.3,275.6,83.4,70.2,162.0,129.3,192.5,83.3,186.2,66.1,173.4,81.2,0.0,227.7,141.6,124.4,110.5,74.6,60.3,61.9,71.7,113.6,136.8,249.4,154.7,246.9,111.2,106.8,91.5,129.8,91.6,109.7,145.7,93.9,112.2,101.7,209.4
Rostuša,137.3,160.6,138.0,131.6,100.4,184.3,181.2,91.1,248.7,78.0,201.7,151.0,92.5,27.9,210.0,195.0,165.4,207.6,246.6,209.7,139.0,66.1,183.9,255.6,210.6,235.9,80.4,214.3,120.3,89.3,90.3,206.6,138.4,113.3,241.7,85.1,133.4,188.6,105.8,84.4,188.8,236.4,131.1,260.3,83.4,206.8,147.1,256.9,137.5,272.0,229.6,0.0,117.8,197.8,143.9,198.1,243.3,195.3,183.8,174.8,101.3,28.8,122.2,79.5,137.5,160.8,144.7,105.2,264.1,157.7,93.0,143.0,160.4,225.1,133.7
Jegunovce,47.4,72.7,192.9,154.5,19.5,96.3,93.3,162.0,160.7,45.2,113.8,62.4,165.7,137.0,122.0,118.2,77.4,119.6,158.7,121.7,51.1,107.0,123.5,167.6,122.7,156.6,44.9,126.3,175.3,49.6,134.4,127.4,50.5,9.7,162.5,52.3,29.5,112.7,160.8,179.1,109.6,157.2,175.3,172.3,127.5,118.8,202.1,169.0,192.5,184.1,141.7,116.3,0.0,109.9,54.1,110.1,155.4,107.4,95.9,86.9,25.4,137.9,166.3,150.4,49.6,72.8,56.7,17.3,184.9,68.1,33.0,55.0,72.5,137.2,204.6
Rankovce,73.4,41.9,200.7,153.2,101.1,80.0,92.0,240.1,144.3,123.3,76.7,68.9,243.9,215.1,19.9,116.9,63.1,45.0,121.6,84.7,61.6,185.2,122.3,130.5,22.4,155.3,124.3,110.0,202.9,127.8,197.4,126.1,78.3,112.5,161.2,130.4,89.8,111.4,207.2,257.2,108.3,155.9,181.9,135.3,205.7,81.7,206.1,152.6,193.3,167.7,125.3,194.4,108.4,0.0,77.2,73.0,139.0,85.1,82.1,33.3,103.5,216.1,174.6,228.6,77.9,72.9,57.3,96.5,183.6,75.6,112.4,60.6,54.6,100.1,229.3
Sopište,11.2,41.6,171.3,123.8,49.7,65.2,62.6,188.8,129.6,71.9,82.7,17.6,192.5,163.7,90.9,87.5,46.3,88.5,127.6,90.6,23.3,133.8,92.9,136.5,91.6,126.0,72.9,95.3,173.6,76.4,161.2,96.8,31.6,61.1,131.8,79.0,33.5,82.0,177.8,205.9,78.9,126.5,152.5,141.2,154.3,87.7,176.7,137.9,164.0,153.0,110.6,143.1,53.6,78.8,0.0,79.0,124.3,76.3,64.8,55.8,52.2,164.7,145.2,177.2,31.2,32.9,26.1,45.1,154.3,23.3,61.0,24.0,44.7,106.1,199.9
Obleševo,76.2,68.9,165.7,118.2,103.9,31.5,58.3,238.4,95.9,126.1,16.4,72.6,246.7,217.9,90.2,81.9,35.9,37.2,61.3,24.3,66.7,187.9,87.2,70.2,51.8,120.3,127.1,61.6,167.9,130.6,162.4,91.1,81.1,115.3,126.2,133.2,92.6,76.4,172.2,260.0,73.3,120.9,146.9,75.0,177.4,18.8,171.1,104.2,158.3,119.3,76.9,197.2,111.1,74.2,80.0,0.0,90.6,34.5,41.2,83.1,106.3,218.9,139.6,231.4,80.7,76.3,61.0,99.3,148.6,79.3,115.2,63.4,81.7,39.8,194.3
Vasilevo,115.8,108.5,196.5,148.9,143.5,58.7,97.9,269.2,7.6,165.7,87.4,112.2,277.9,257.5,149.6,87.8,75.6,96.6,105.3,95.4,106.3,221.6,100.3,67.8,111.2,69.3,166.7,32.3,198.7,170.2,193.2,77.3,120.7,154.9,60.3,172.8,132.3,102.6,202.9,291.2,99.1,43.6,177.6,79.1,208.2,92.4,201.9,15.9,189.1,31.0,55.6,236.8,150.8,133.6,119.6,83.7,0.0,71.0,80.9,122.7,146.0,258.5,170.3,262.6,120.4,115.9,100.6,138.9,65.0,118.9,154.8,103.1,121.4,110.8,225.1
Karbinci,72.3,64.9,161.8,114.2,99.9,13.3,54.3,234.5,81.0,122.2,39.4,68.7,242.8,214.0,101.1,77.5,32.0,48.0,84.3,45.4,62.8,184.0,83.3,91.8,62.7,116.4,123.1,46.7,164.0,126.6,158.5,87.2,77.2,111.4,122.3,129.3,88.7,72.5,168.2,256.1,69.3,117.0,142.9,96.5,173.5,37.4,167.2,89.3,154.4,104.4,62.0,193.3,107.2,85.0,76.1,34.8,75.7,0.0,37.3,79.2,102.4,214.9,135.6,227.4,76.8,72.4,57.1,95.4,138.4,75.3,111.3,59.5,77.8,62.8,190.4
Lozovo,54.7,50.4,125.9,78.3,81.2,26.3,18.4,198.6,90.7,103.5,43.8,45.6,207.3,195.3,98.9,42.0,21.1,53.0,88.7,51.8,44.1,151.0,47.4,97.6,67.6,80.5,104.5,56.4,128.1,107.9,122.6,51.3,58.5,92.7,86.3,110.6,70.0,36.6,132.3,220.6,33.4,81.0,107.0,102.4,137.6,48.8,131.3,99.0,118.5,114.1,71.7,174.6,88.5,82.9,58.5,40.1,85.4,37.4,0.0,64.6,83.7,196.3,99.7,192.0,58.1,42.1,34.0,76.7,108.8,47.5,92.6,44.1,63.3,67.2,154.5
